product_code,nombre,descripcion
72401156,LP ESENCIA VAIN. CJ 6X2 LT,"Esencias y Colorantes Calsa para panificación, línea Esencias, presentación comercial de 12 l."
72421021,LP ESENCIA LIMON BIDON 2 LT,"Esencias y Colorantes Calsa para panificación, línea Esencias, presentación comercial de 2 l."
73165145,I360 PREM. CROISSANT. CJ6X3KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 18 kg."
11081001,LEUDEX LEV. FRESCA PAQ 500G,"Fresca Calsa para panificación, línea Prensada, presentación comercial de 0.5 kg."
73164032,I360 PREM. MUFFIN VAIN. BOL3KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 3 kg."
63257144,LP MEJ. FORMULA UNO CJ2X10 KG 100A,"Mejoradores Calsa para panificación, línea Comun, presentación comercial de 20 kg."
40229015,FLOR MARG. HOJAL ** CJ2PILX10KG,"Margarinas Calsa para panificación, línea Hojaldre, presentación comercial de 20 kg."
73167032,I360 PREM. BROWNIE. BOL3KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 3 kg."
63257042,LP MEJ. FORMULA UNO BOL.10 KG 100A,"Mejoradores Calsa para panificación, línea Comun, presentación comercial de 10 kg."
72411021,LP ESENCIA NARANJA BIDON 2 LT,"Esencias y Colorantes Calsa para panificación, línea Esencias, presentación comercial de 2 l."
40157014,MTK MARG. HOJAL LT CJ4PILX5KG,"Margarinas Calsa para panificación, línea Masas, presentación comercial de 20 kg."
31301093,BIZCOCHINA GRASA 35 CJX20KG,"Grasas/Shortenings Calsa para panificación, línea Refinada Blanda, presentación comercial de 20 kg."
72690033,LP CHIPS SEMIAMARGO BOL. X1 KG,"Chocolates Calsa para panificación, línea Grageados/Granillo, presentación comercial de 1 kg."
11066082,DUQUESA LEV. FRESCA CJ 20 PAQ 500G 100A,"Fresca Calsa para panificación, línea Prensada, presentación comercial de 10 kg."
40184015,GOLF MARG. MASAS LT CJ2PILX10KG,"Margarinas Calsa para panificación, línea Masas, presentación comercial de 20 kg."
72910022,LP KOLAROMA CAFÉ BIDON 1 LT,"Esencias y Colorantes Calsa para panificación, línea Esencia & Color, presentación comercial de 1 l."
40190093,MARG PREM. MASAS/BATIDOS 0%TRANS-Cajx20K,"Margarinas Calsa para panificación, línea Batidos, presentación comercial de 20 kg."
32402090,RICABE GRASA CJ20SACHX1KG,"Grasas/Shortenings Calsa para panificación, línea Refinada Dura, presentación comercial de 1 kg."
63230493,LP MEJ.CONC. CALSA MAX CJ 12X500 G,"Mejoradores Calsa para panificación, línea Concentrado, presentación comercial de 6 kg."
32026093,IDEALINA GRASA CJX20KG,"Grasas/Shortenings Calsa para panificación, línea Refinada Dura, presentación comercial de 20 kg."
72441021,LP ESENCIA COCO BIDON 2 LT,"Esencias y Colorantes Calsa para panificación, línea Esencias, presentación comercial de 2 l."
73165032,I360 PREM. CROISSANT. BOL3KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 3 kg."
64009042,LP MEJ. MEJORMIGA BOL.10 KG,"Mejoradores Calsa para panificación, línea Especifico, presentación comercial de 10 kg."
40182014,PREMIUM HOJ. C/MAN LT CJ 4PILx5KG,"Margarinas Calsa para panificación, línea Masas, presentación comercial de 20 kg."
40172014,PREMIUM HOJ. C/MAN LOW TRANS CJ 4PILx5KG,"Margarinas Calsa para panificación, línea Masas, presentación comercial de 20 kg."
73126144,LP PREM. MUFFIN VIN. CJ2X10 KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 20 kg."
40179014,PREMIUM MASAS LT CJ4PILX5KG,"Margarinas Calsa para panificación, línea Masas, presentación comercial de 20 kg."
72451021,LP ESENCIA ALMEN. BIDON 2 LT,"Esencias y Colorantes Calsa para panificación, línea Esencias, presentación comercial de 2 l."
40143114,MTK MARG. HOJAL CJ4PILX5KG,"Margarinas Calsa para panificación, línea Hojaldre, presentación comercial de 20 kg."
73016179,LP PREM. COOKIES CJ7X3 KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 21 kg."
11054192,LEV. PRENS. FAMILIAR C/MM -CJ/4D/10P/50,"Fresca Calsa para panificación, línea Prensada, presentación comercial de 2 kg."
11044196,CALSA LPF AMASA FACIL CJ 2D/20FP/50G,"Fresca Calsa para panificación, línea Prensada, presentación comercial de 2 kg."
11085082,VIRGEN LEV. FRESCA MECAN. CJ 20 PAQ 500G,"Fresca Calsa para panificación, línea Prensada, presentación comercial de 10 kg."
73136145,LP. PREM. EKILIBRIUM FIBRA CJ6X3 KG,"Premezclas Calsa para panificación, línea Panaderia, presentación comercial de 18 kg."
11056190,CALSA LPF CLASICA CJ 8D/10FP/50G 100A,"Fresca Calsa para panificación, línea Prensada, presentación comercial de 4 kg."
33717093,FA 201 P3 - VER - CJ20KG,"Grasas/Shortenings Calsa para panificación, línea Refinada Dura, presentación comercial de 20 kg."
73016032,LP PREM. COOKIES BOL.3 KG,"Premezclas Calsa para panificación, línea Pasteleria, presentación comercial de 3 kg."
72760193,LP BAÑO MOLDEO SEMIAMARGO CJ 4X1 KG,"Chocolates Calsa para panificación, línea Baños, presentación comercial de 4 kg."
72710130,LP COBERTURA SEMIAMARGO CJ X 3 KG,"Chocolates Calsa para panificación, línea Cobertura, presentación comercial de 3 kg."
73044042,LP PREM. FACTURAS Y MEDIALUNAS BOL.10 KG,"Premezclas Calsa para panificación, línea Panaderia, presentación comercial de 10 kg."
13010035,VIRGEN LEV. ALIM. NATURAL BOLSA 25KG,"Alimenticia Calsa para panificación, línea VIRGEN LEV. ALIM. NATURAL BOLSA 25KG, presentación comercial de 25 kg."
40183015,SUPER MARG. HOJAL LT# CJ2PILX10KG,"Margarinas Calsa para panificación, línea Masas, presentación comercial de 20 kg."
13010105,NUTRILEVA LEV. ALIM. NAT. CJ 36E/BOL500G,"Alimenticia Calsa para panificación, línea NUTRILEVA LEV. ALIM. NAT. CJ 36E/BOL500G, presentación comercial de 18 kg."
13010092,NUTRILEVA LEV. ALIM. NAT. CJ 100E/BOL200,"Alimenticia Calsa para panificación, línea NUTRILEVA LEV. ALIM. NAT. CJ 100E/BOL200, presentación comercial de 20 kg."
40181014,PREMIUM MASA C/MAN LT CJ 4PILx5KG,"Margarinas Calsa para panificación, línea Masas, presentación comercial de 20 kg."
63240490,"LP MEJ.CONC. FORMULA N CJ 4X1,5 KG","Mejoradores Calsa para panificación, línea Concentrado, presentación comercial de 6 kg."
72760033,LP BAÑO MOLDEO SEMIAMARGO BOL. X1 KG,"Chocolates Calsa para panificación, línea Baños, presentación comercial de 1 kg."
22018114,LP EXT. DE MALTA B. VISC. TAMBOR x260KG,"Extractos y harinas de malta Calsa para panificación, línea Extractos., presentación comercial de 260 kg."
15017097,"LEV. INSTANTANEA ""MAURI"" -CJ 20P.X500G","Seca Calsa para panificación, línea HADY, presentación comercial de 0.5 kg."
73136032,LP. PREM. EKILIBRIUM FIBRA BOL.3 KG,"Premezclas Calsa para panificación, línea Panaderia, presentación comercial de 3 kg."
40024015,SUPER MARG. HOJAL # ** CJ2PILX10KG,"Margarinas Calsa para panificación, línea Hojaldre, presentación comercial de 20 kg."
