lista_precios_id,nombre,multiplicador_sobre_lista_1,product_code,precio_unidad,is_mock
1,Lista única,1.0,6192,14537.12,false
1,Lista única,1.0,6081,17173.06,false
1,Lista única,1.0,6132,18711.53,false
1,Lista única,1.0,6181,33146.44,false
1,Lista única,1.0,361000,1884.72,false
1,Lista única,1.0,6139,31493.36,false
1,Lista única,1.0,6168,12092.44,false
1,Lista única,1.0,6158,8067.62,false
1,Lista única,1.0,6173,10497.79,false
1,Lista única,1.0,6106,10497.79,false
1,Lista única,1.0,6164,31493.36,false
1,Lista única,1.0,6186,10497.79,false
1,Lista única,1.0,6140,12092.44,false
1,Lista única,1.0,clarax100g,12276.47,false
1,Lista única,1.0,6152,36277.33,false
1,Lista única,1.0,6151,10497.79,false
1,Lista única,1.0,6108,10497.79,false
1,Lista única,1.0,6105,10497.79,false
1,Lista única,1.0,6159,12092.44,false
1,Lista única,1.0,6175,12092.44,false
1,Lista única,1.0,6096,31800.00,false
1,Lista única,1.0,6102,17704.72,false
1,Lista única,1.0,6083,30735.40,false
1,Lista única,1.0,6136,25612.80,false
1,Lista única,1.0,6214,50570.10,false
1,Lista única,1.0,6216,23460.00,false
1,Lista única,1.0,6201,28185.12,false
1,Lista única,1.0,6069100,19563.90,false
1,Lista única,1.0,6069,3260.65,false
1,Lista única,1.0,6169,8713.03,false
1,Lista única,1.0,6178,36277.33,false
1,Lista única,1.0,361200,11308.33,false
1,Lista única,1.0,362200,11073.67,false
1,Lista única,1.0,362100,3691.22,false
1,Lista única,1.0,4810200,23998.20,false
1,Lista única,1.0,6167,5511.72,false
1,Lista única,1.0,5587100,11381.83,false
1,Lista única,1.0,5587200,17072.74,false
1,Lista única,1.0,6070,3069.99,false
1,Lista única,1.0,6082,7518.58,false
1,Lista única,1.0,6191,104332.14,false
1,Lista única,1.0,6207,15030.61,false
1,Lista única,1.0,6138,41919.23,false
1,Lista única,1.0,6090,36296.76,false
1,Lista única,1.0,6134,9978.73,false
1,Lista única,1.0,6176,36668.81,false
1,Lista única,1.0,6146,11782.44,false
1,Lista única,1.0,6199,50289.96,false
1,Lista única,1.0,6117,33283.94,false
1,Lista única,1.0,6177,9978.23,false
1,Lista única,1.0,6149,9978.73,false
1,Lista única,1.0,6213,1884.72,false
1,Lista única,1.0,6107,7814.94,false
1,Lista única,1.0,6184,28412.82,false
1,Lista única,1.0,6210,1884.72,false
1,Lista única,1.0,6174,4207.62,false
1,Lista única,1.0,6179,3847.22,false
1,Lista única,1.0,6100,23925.06,false
1,Lista única,1.0,6137,5350.04,false
1,Lista única,1.0,6217,30657.53,false
1,Lista única,1.0,6097,20317.74,false
1,Lista única,1.0,6112,14186.62,false
1,Lista única,1.0,6115,77818.20,false
1,Lista única,1.0,6088,3097.48,false
1,Lista única,1.0,6185,2219.50,false
1,Lista única,1.0,6189,4988.70,false
1,Lista única,1.0,6109,4929.36,false
1,Lista única,1.0,6180,117219.96,false
1,Lista única,1.0,6135,32220.46,false
1,Lista única,1.0,6077,7453.99,false
1,Lista única,1.0,6113,5049.42,false
1,Lista única,1.0,6116,9005.88,false
1,Lista única,1.0,5681100,35262.04,false
1,Lista única,1.0,8000100,35262.04,false
1,Lista única,1.0,6154,5350.04,false
1,Lista única,1.0,6078,7631.40,false
1,Lista única,1.0,6078100,15262.80,false
1,Lista única,1.0,ginkgo200,11981.16,false
1,Lista única,1.0,6114,3993.72,false
1,Lista única,1.0,6148,17429.91,false
1,Lista única,1.0,6078200,22894.20,false
1,Lista única,1.0,6074,15900.00,false
1,Lista única,1.0,Vitaneral-Vainilla,11419.50,false
1,Lista única,1.0,vitaneral-chocolate,11419.50,false
1,Lista única,1.0,6114100,7987.44,false
1,Lista única,1.0,6208,10841.97,false
1,Lista única,1.0,6094,10032.16,false
1,Lista única,1.0,6150,20378.46,false
1,Lista única,1.0,6182,112739.43,false
1,Lista única,1.0,6101,12867.46,false
1,Lista única,1.0,6073,5273.23,false
1,Lista única,1.0,6196,24653.70,false
1,Lista única,1.0,6200,10500.00,false
1,Lista única,1.0,6203,48424.20,false
1,Lista única,1.0,5704200,22517.46,false
1,Lista única,1.0,5588100,21227.16,false
1,Lista única,1.0,5704100,15011.64,false
1,Lista única,1.0,5704,7505.74,false
1,Lista única,1.0,6087,2842.84,false
1,Lista única,1.0,2825100,3227.82,false
1,Lista única,1.0,9998100,8440.08,false
1,Lista única,1.0,2824100,4950.06,false
1,Lista única,1.0,5698,1157.82,false
1,Lista única,1.0,58,10800.00,false
1,Lista única,1.0,6205,5860.86,false
1,Lista única,1.0,305,9600.00,false
1,Lista única,1.0,6071,7716.77,false
1,Lista única,1.0,3993100,4679.58,false
1,Lista única,1.0,6095,16200.00,false
1,Lista única,1.0,ROMINAFORT-gummies,15495.70,false
1,Lista única,1.0,5676,35594.34,false
1,Lista única,1.0,6133,12771.90,false
1,Lista única,1.0,6076,24653.70,false
1,Lista única,1.0,5620,5809.80,false
1,Lista única,1.0,5345,5140.50,false
1,Lista única,1.0,6098,12300.00,false
1,Lista única,1.0,3500100,3746.70,false
1,Lista única,1.0,6084,13786.20,false
1,Lista única,1.0,6072,14630.94,false
1,Lista única,1.0,5698300,10420.38,false
1,Lista única,1.0,5508999,13500.00,false
1,Lista única,1.0,5468000,5052.29,false
1,Lista única,1.0,5139,43958.52,false
1,Lista única,1.0,5340000,23100.00,false
1,Lista única,1.0,4555999,5423.40,false
1,Lista única,1.0,5028000,5074.26,false
1,Lista única,1.0,5112,14131.20,false
1,Lista única,1.0,5212000,5351.89,false
1,Lista única,1.0,4906999,6000.00,false
1,Lista única,1.0,2562000,11100.00,false
1,Lista única,1.0,5432000,3209.88,false
1,Lista única,1.0,5529000,5473.78,false
1,Lista única,1.0,273000,4759.62,false
1,Lista única,1.0,1266999,12134.96,false
1,Lista única,1.0,5303999,7200.00,false
1,Lista única,1.0,273200,28555.90,false
1,Lista única,1.0,273700,14277.48,false
1,Lista única,1.0,4744,15900.00,false
1,Lista única,1.0,5699,7897.74,false
