codigo_producto,nombre,descripcion_original,descripcion_mejorada,brand,alias_locales
2389,ILUMINADOR VERDE X 3 GRS,"Insumo de repostería ILUMINADOR VERDE X 3 GRS, marca FLEIBOR, 3 GRS.",Insumo de repostería: ILUMINADOR VERDE X 3 GRS. Marca FLEIBOR. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,FLEIBOR,
2390,ILUMINADOR VERDE P X 3 GRS,"Insumo de repostería ILUMINADOR VERDE P X 3 GRS, marca FLEIBOR, 3 GRS.",Insumo de repostería: ILUMINADOR VERDE P X 3 GRS. Marca FLEIBOR. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,FLEIBOR,
2380,LICOR MARASCHINO X 1 LT,"Insumo de repostería LICOR MARASCHINO X 1 LT, marca MOSER, 1 L.",Insumo de repostería: LICOR MARASCHINO X 1 LT. Marca MOSER. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MOSER,
1705,LICOR RHUM X 1 LT,"Insumo de repostería LICOR RHUM X 1 LT, marca MOSER, 1 L.",Insumo de repostería: LICOR RHUM X 1 LT. Marca MOSER. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MOSER,
2347,LIPOSOLUBLE EN POLVO AMARILLO X 5 GRS,"Insumo de repostería LIPOSOLUBLE EN POLVO AMARILLO X 5 GRS, marca FLEIBOR, 5 GRS.",Insumo de repostería: LIPOSOLUBLE EN POLVO AMARILLO X 5 GRS. Marca FLEIBOR. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,FLEIBOR,
2351,LIPOSOLUBLE EN POLVO AZUL X 5 GRS,"Insumo de repostería LIPOSOLUBLE EN POLVO AZUL X 5 GRS, marca FLEIBOR, 5 GRS.",Insumo de repostería: LIPOSOLUBLE EN POLVO AZUL X 5 GRS. Marca FLEIBOR. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,FLEIBOR,
2388,LIPOSOLUBLE EN POLVO BLANCO X 5 GRS,"Insumo de repostería LIPOSOLUBLE EN POLVO BLANCO X 5 GRS, marca FLEIBOR, 5 GRS.",Insumo para preparar helados: LIPOSOLUBLE EN POLVO BLANCO X 5 GRS. Marca FLEIBOR. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,FLEIBOR,
2354,LIPOSOLUBLE EN POLVO NEGRO X 5 GRS,"Insumo de repostería LIPOSOLUBLE EN POLVO NEGRO X 5 GRS, marca FLEIBOR, 5 GRS.",Insumo de repostería: LIPOSOLUBLE EN POLVO NEGRO X 5 GRS. Marca FLEIBOR. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,FLEIBOR,
2348,LIPOSOLUBLE EN POLVO NJA X 5 GRS,"Insumo de repostería LIPOSOLUBLE EN POLVO NJA X 5 GRS, marca FLEIBOR, 5 GRS.",Insumo para preparar helados: LIPOSOLUBLE EN POLVO NJA X 5 GRS. Marca FLEIBOR. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,FLEIBOR,
2349,LIPOSOLUBLE EN POLVO ROJO X 5 GRS,"Insumo de repostería LIPOSOLUBLE EN POLVO ROJO X 5 GRS, marca FLEIBOR, 5 GRS.",Insumo de repostería: LIPOSOLUBLE EN POLVO ROJO X 5 GRS. Marca FLEIBOR. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,FLEIBOR,
2350,LIPOSOLUBLE EN POLVO ROSA X 5 GRS,"Insumo de repostería LIPOSOLUBLE EN POLVO ROSA X 5 GRS, marca FLEIBOR, 5 GRS.",Insumo de repostería: LIPOSOLUBLE EN POLVO ROSA X 5 GRS. Marca FLEIBOR. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,FLEIBOR,
2353,LIPOSOLUBLE EN POLVO VERDE X 5 GRS,"Insumo de repostería LIPOSOLUBLE EN POLVO VERDE X 5 GRS, marca FLEIBOR, 5 GRS.",Insumo de repostería: LIPOSOLUBLE EN POLVO VERDE X 5 GRS. Marca FLEIBOR. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,FLEIBOR,
2352,LIPOSOLUBLE EN POLVO VIOLETA X 5 GRS,"Insumo de repostería LIPOSOLUBLE EN POLVO VIOLETA X 5 GRS, marca FLEIBOR, 5 GRS.",Insumo para preparar helados: LIPOSOLUBLE EN POLVO VIOLETA X 5 GRS. Marca FLEIBOR. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,FLEIBOR,
