product_code,articulo,grupo,marca,contador,cantidad,rotacion_raw,rotacion_index,margen_pct,margen_normalizado,clase_ab,interpretacion,ventas_neto,costo,en_catalogo
379,DURAZNO 200 CC X18 PINDAPOY,#09 PINDAPOY,PINDAPOY,167,239.0,0.698745,0.6881,0.2839,1.0,A,alta rotación / baja rentabilidad,1687785.37,1208614.22,si
380,DURAZNO 1 LITRO PINDAPOY,#09 PINDAPOY,PINDAPOY,105,130.0,0.807692,0.8009,0.2831,1.0,A,alta rotación / baja rentabilidad,1416175.3,1015249.56,si
393,AGUA EL SANO CORAZON ARGENTINO 500 ML X 12 S/GAS,#04 AGUAS,MANAOS,113,346.0,0.32659,0.3029,0.362,1.0,B,baja rotación / alta rentabilidad,1450123.88,925120.96,si
395,GRANADINA 3 LTS X6 MANAOS,#01 MANAOS 3 LTS,MANAOS,201,372.0,0.540323,0.5241,0.3058,1.0,B,baja rotación / alta rentabilidad,3197256.23,2219378.04,si
4,COPOS DE MAIZ AZUCARADOS GAONA 1X200 GR,#14 ALMACEN,GAONA,46,243.0,0.1893,0.1607,0.2968,1.0,B,baja rotación / alta rentabilidad,260406.55,183129.85,si
424,PACK SURTIDO 3 LTS MANAOS,#01 MANAOS 3 LTS,MANAOS,14,33.0,0.424242,0.404,0.285,1.0,A,alta rotación / baja rentabilidad,275355.38,196880.31,no
425,PACK SURTIDO 2.25 LTS MANAOS,#02 MANAOS 2.25 LTS,MANAOS,2,2.0,1.0,1.0,0.3143,1.0,A,alta rotación / baja rentabilidad,16067.36,11016.7,no
427,PACK SURTIDO PLACER 1.5 LTS,#07 PLACER 1.5 LTS,MANAOS,2,2.0,1.0,1.0,0.3426,1.0,A,alta rotación / baja rentabilidad,12363.64,8127.98,no
430,PALITOS DE MAIZ (NARANJA) 5X120G OVNI,#16 SNACK,OVNI,289,645.0,0.448062,0.4286,0.2911,1.0,A,alta rotación / baja rentabilidad,2160329.49,1531513.83,si
431,PALITOS DE MAIZ (NARANJA) 5X50G OVNI,#16 SNACK,OVNI,262,678.0,0.386431,0.3648,0.2908,1.0,A,alta rotación / baja rentabilidad,1096534.63,777673.24,si
