nombre,zone_type,dias_visita,dia_visita,codigo_ruta,vendedor_idx,geometry_wkt,color,is_mock
San Juan Bautista,route,"miércoles,viernes",miércoles,RUTA2-SANJUAN,1,"SRID=4326;MULTIPOLYGON(((-58.21483641264438 -26.210616478594304, -58.21509031979699 -26.21068013066122, -58.21534919371036 -26.210718921442997, -58.21561060603156 -26.21073248706478, -58.21587210459629 -26.21072070027498, -58.216131236431245 -26.210683671638947, -58.216385570764075 -26.210621748501822, -58.216632721825185 -26.210535511730285, -58.21687037122724 -26.21042577026376, -58.21709628971272 -26.210293553526217, -58.21730835806536 -26.21014010176969, -58.21750458698929 -26.209966854440182, -58.2176831357696 -26.20977543667501, -58.217842329538975 -26.209567644058293, -58.21798067498878 -26.209345425777567, -58.22243297498877 -26.20135582577757, -58.22255022611148 -26.201118853269044, -58.22264376198954 -26.20087155823252, -58.22271268750053 -26.20061630723937, -58.222756343039066 -26.200355542998093, -58.222774310829074 -26.200091760978054, -58.222766418921864 -26.199827485528242, -58.22273274284165 -26.199565245719683, -58.22267360486278 -26.19930755114266, -58.22258957092563 -26.199056867890366, -58.22248144522066 -26.19881559495882, -58.222350262492455 -26.19858604128886, -58.22219727813736 -26.198370403669994, -58.222023956189595 -26.198170745717498, -58.22183195531066 -26.19798897812396, -58.221623112916255 -26.197826840374272, -58.22139942759252 -26.197685884099077, -58.22116303996988 -26.19756745822591, -58.22091621223761 -26.197472696070204, -58.220661306495046 -26.197402504489638, -58.220400762146724 -26.197357555205677, -58.21330036214672 -26.196487655205676, -58.21303539643109 -26.196468347990088, -58.212769815258426 -26.196475147972688, -58.21250618476621 -26.196507989449685, -58.212247052243775 -26.196566555095327, -58.21199492151949 -26.19665027902802, -58.21175222876793 -26.19675835227806, -58.2115213189707 -26.196889730604198, -58.21130442325842 -26.197043144583443, -58.211103637352736 -26.19721711187667, -58.21092090131677 -26.197409951551517, -58.21075798080953 -26.197619800324105, -58.21025628080954 -26.198336100324106, -58.210103273286556 -26.198581530437462, -58.20900147328654 -26.200579630437463, -58.20889569470246 -26.200793224185844, -58.2088091459799 -26.20101530686599, -58.208742500249855 -26.20124415123421, -58.20869627584819 -26.201477977457905, -58.20823087584821 -26.204535377457905, -58.20820455282128 -26.20478697404574, -58.2082018684462 -26.20503992965229, -58.208222846240105 -26.205292028198336, -58.20826730242191 -26.205541061113138, -58.20833484752241 -26.20578484668317, -58.208424889796284 -26.206021249165538, -58.20853664040626 -26.206248197498702, -58.20866912033389 -26.206463703446488, -58.21009312033388 -26.208554103446488, -58.210250915304144 -26.208763194839857, -58.21042821086048 -26.208956028314972, -58.210623341511905 -26.20913079241969, -58.21083447422689 -26.20928584544314, -58.21105962565268 -26.209419730837748, -58.211296680746564 -26.20953119090183, -58.21154341264437 -26.209619178594306, -58.21483641264438 -26.210616478594304)))",#0a3246,false
San jose obrero,route,"lunes,jueves",lunes,RUTA2-SANJOSE,1,"SRID=4326;MULTIPOLYGON(((-58.16428428653799 -26.200939824093965, -58.1644681010242 -26.20112844570061, -58.164669401782 -26.201298280563762, -58.164886277221484 -26.201447715899562, -58.1651166678526 -26.2015753326419, -58.165358385842524 -26.201679918918156, -58.165609135791684 -26.201760481557343, -58.16586653653131 -26.20181625552146, -58.16612814373549 -26.201846711170436, -58.166391473132926 -26.201851559291693, -58.16665402409805 -26.201830753846558, -58.16691330339743 -26.201784492407455, -58.16716684886599 -26.201713214281725, -58.16741225278819 -26.201617596339883, -58.16764718476215 -26.201498546587917, -58.16786941382959 -26.201357195544702, -58.16985251382958 -26.1999555955447, -58.170067905410804 -26.199786364715216, -58.170265061118954 -26.199596201012973, -58.17044195577773 -26.199387057792656, -58.17059677233158 -26.199161083365865, -58.187113872331594 -26.172218783365867, -58.18724261762356 -26.17198327847494, -58.1873473695086 -26.171736165248994, -58.18742709492476 -26.171479880715957, -58.18748100762087 -26.171216952351084, -58.1875085759105 -26.17094997315103, -58.18750952791548 -26.170681576061735, -58.18748385424716 -26.170414408012352, -58.18743180809897 -26.170151103811257, -58.18735390274946 -26.169894260161595, -58.18725090650031 -26.16964641005262, -58.18712383509942 -26.169409997779393, -58.18697394172355 -26.169187354837163, -58.18680270461953 -26.168980676928182, -58.1866118125258 -26.168792002307722, -58.18640314801809 -26.168623191682823, -58.18617876894349 -26.16847590986202, -58.185940888125984 -26.168351609337012, -58.185691851543574 -26.168251515958215, -58.185434115192315 -26.16817661684543, -58.185170220865274 -26.16812765065289, -58.18490277108542 -26.168105100284652, -58.18463440343953 -26.168109188132195, -58.1843677645664 -26.168139873881213, -58.18410548405568 -26.168196854909187, -58.18385014851487 -26.168279569269842, -58.1836042760603 -26.16838720123506, -58.1833702914834 -26.16851868933958, -58.18315050233752 -26.16867273684916, -58.15734060233751 -26.18874513684916, -58.15714356505727 -26.188914167833552, -58.15696365413916 -26.189101323450725, -58.15680252951292 -26.189304876928485, -58.156661677778445 -26.189522950201464, -58.15654239848988 -26.189753531238868, -58.15644579216541 -26.18999449260831, -58.15637275013341 -26.190243611104318, -58.15632394630873 -26.190498588260528, -58.15629983097489 -26.190757071556245, -58.15630062662954 -26.191016676121738, -58.15632632593165 -26.191275006741996, -58.15637669176925 -26.191529679955927, -58.15645125944708 -26.191778346047133, -58.15654934097406 -26.192018710723314, -58.15667003141101 -26.192248556284333, -58.15681221721994 -26.192465762083593, -58.15697458653799 -26.192668324093965, -58.16428428653799 -26.200939824093965)))",#2f6759,false
Virgen del Rosario,route,"lunes,jueves",lunes,RUTA2-VIRGEND,1,"SRID=4326;MULTIPOLYGON(((-58.209203648554244 -26.20894789701253, -58.20945988793918 -26.209013709250478, -58.20972133408853 -26.209054154077727, -58.20998548192629 -26.20906884396757, -58.21024980048995 -26.209057638167163, -58.21051175718115 -26.20902064404615, -58.21076884203211 -26.208958216067906, -58.2110185917551 -26.208870952393198, -58.211258613344775 -26.20875968914884, -58.21148660700702 -26.208625492416253, -58.21170038819463 -26.208469648016674, -58.213908088194636 -26.206688448016674, -58.2141361264085 -26.206481968689914, -58.215941626408494 -26.204649668689914, -58.2161157264352 -26.204455007337984, -58.216270225756695 -26.204244451357567, -58.216403681796045 -26.204019966732712, -58.2165148484597 -26.203783649500746, -58.21660268777247 -26.20353770618133, -58.21666637956913 -26.20328443317394, -58.21670532915248 -26.20302619531616, -58.21671917284601 -26.20276540380291, -58.216707781389665 -26.202504493672873, -58.2166712611467 -26.20224590107227, -58.2166099531106 -26.201992040508294, -58.21652442972114 -26.2017452823046, -58.21641548951951 -26.201507930469337, -58.2162841496922 -26.20128220118237, -58.21613163657344 -26.20107020210256, -58.21595937419478 -26.200873912688344, -58.21576897098877 -26.2006951657153, -58.20972647098876 -26.1955485657153, -58.209494170597075 -26.195371444936026, -58.209244110972485 -26.1952204302792, -58.20897921341022 -26.19509728595765, -58.20538201341022 -26.193655985957648, -58.20513012328494 -26.19356920644022, -58.204870913065406 -26.19350764848422, -58.20460690151517 -26.19347191025255, -58.204340654052665 -26.193462339016065, -58.204074757822816 -26.193479027779127, -58.20381179655761 -26.19352181437588, -58.20355432546978 -26.193590283046017, -58.20330484642361 -26.19368376847475, -58.2030657836242 -26.19380136225773, -58.20283946006122 -26.19394192172806, -58.202628074936335 -26.1941040810597, -58.20243368229336 -26.194286264539237, -58.202258171059 -26.194486701877256, -58.199955471059 -26.19739390187726, -58.19979110719742 -26.197625436568078, -58.19965194163405 -26.197872937553967, -58.19953951039449 -26.198133673068263, -58.199455054426956 -26.19840476526954, -58.199399505905525 -26.198683222005517, -58.19937347794127 -26.198965969838614, -58.199377257815186 -26.199249887968712, -58.19965915781518 -26.20352358796871, -58.199690658770045 -26.20379353705426, -58.19974911190521 -26.204058957569544, -58.199833926137096 -26.20431716555745, -58.19994424381623 -26.20456554999459, -58.20007894939991 -26.204801599194273, -58.20023668073265 -26.205022926204865, -58.20041584282043 -26.205227292946898, -58.20061462395943 -26.205412632844716, -58.20083101405614 -26.205577071723912, -58.20106282495363 -26.205718946763124, -58.20383472495365 -26.207229346763125, -58.20407630903478 -26.207345830576, -58.204328248554255 -26.207437797012528, -58.209203648554244 -26.20894789701253)))",#549c6c,false
B° vial,route,"miércoles,viernes",miércoles,RUTA3-B°VIAL,2,"SRID=4326;MULTIPOLYGON(((-58.1654987103025 -26.184532796791654, -58.16532318022002 -26.184738524523283, -58.16516908833343 -26.1849607640335, -58.16503797743253 -26.185197290228842, -58.16493116021825 -26.185445734975517, -58.16484970615967 -26.18570361080951, -58.16479443078637 -26.18596833584143, -58.16476588752323 -26.186237259606735, -58.16476436214944 -26.18650768960258, -58.16478986993725 -26.186776918245513, -58.16484215549908 -26.18704224998022, -58.16492069534448 -26.187301028267758, -58.16502470312138 -26.187550662183245, -58.165153137489185 -26.187788652356538, -58.16530471254479 -26.188012615996296, -58.16547791069727 -26.188220310746818, -58.16567099786217 -26.188409657138823, -58.16588204082344 -26.18857875940941, -58.16610892658903 -26.18872592448267, -58.16634938354651 -26.18884967892104, -58.16660100420675 -26.188948783677546, -58.166861269308015 -26.189022246501313, -58.16712757303925 -26.189069331872147, -58.167397249129756 -26.189089568364636, -58.16766759754429 -26.189082753368154, -58.17577009754429 -26.188471853368153, -58.176051172773796 -26.188435762538237, -58.17632692397212 -26.18837043942386, -58.17659431956684 -26.188276602178746, -58.17685041984596 -26.18815528243723, -58.177092409276696 -26.188007813972593, -58.17731762745906 -26.187835818033744, -58.17752359837398 -26.187641185521418, -58.19337169837398 -26.171008385521418, -58.193543934681756 -26.17080900421021, -58.19369593895932 -26.170593799766532, -58.193826266655485 -26.17036481735544, -58.19393367921938 -26.170124233078955, -58.195581879219375 -26.165889233078957, -58.195664855487074 -26.165641113806576, -58.19572345277739 -26.165386134215442, -58.19575712200073 -26.16512668360795, -58.19576554765749 -26.164865193182436, -58.19574865079451 -26.164604113251478, -58.19570658974494 -26.16434589028109, -58.19563975864449 -26.164092943965954, -58.19554878373821 -26.163847644555528, -58.19543451751223 -26.163612290643457, -58.19529803070545 -26.163389087628463, -58.195140602276126 -26.163180127048527, -58.19496370741731 -26.162987366981984, -58.194769003733484 -26.162812613699238, -58.19455831570782 -26.16265750473698, -58.19433361760582 -26.16252349355356, -58.19409701497524 -26.162411835909246, -58.193850724916025 -26.162323578099066, -58.19359705530475 -26.162259547148413, -58.19333838316856 -26.16222034306336, -58.19307713241107 -26.16220633320827, -58.19281575109904 -26.162217648863376, -58.18998245109904 -26.162478148863375, -58.18974255022739 -26.162511099710667, -58.18950656158906 -26.162565391046353, -58.18927637959882 -26.162640587043068, -58.189053852058194 -26.16273608405985, -58.18744095205818 -26.16351558405985, -58.18726136274569 -26.16361087050531, -58.1831414627457 -26.165999570505306, -58.182922888458336 -26.166140779445843, -58.18271890733272 -26.166302354148005, -58.1825314103025 -26.16648279679165, -58.1654987103025 -26.184532796791654)))",#79097f,false
La Paz,route,martes,martes,RUTA3-LAPAZ,2,"SRID=4326;MULTIPOLYGON(((-58.1685 -26.132699999999996, -58.152499999999996 -26.132699999999996, -58.152499999999996 -26.116699999999998, -58.1685 -26.116699999999998, -58.1685 -26.132699999999996)))",#9e3e92,false
Lote 4,route,"lunes,jueves",lunes,RUTA3-LOTE4,2,"SRID=4326;MULTIPOLYGON(((-58.15418054604704 -26.210380044646335, -58.15438486855785 -26.21056441960567, -58.154606882038294 -26.210727059786905, -58.154844284418544 -26.210866278765156, -58.15509461406041 -26.21098063297128, -58.155355275282226 -26.21106893666029, -58.15562356527363 -26.211130274206443, -58.155896702121105 -26.21116400959739, -58.15617185365385 -26.211169793029022, -58.15644616681067 -26.211147564532627, -58.15718016681066 -26.211050264532627, -58.15741153770646 -26.211009290245233, -58.15763847529312 -26.210948374603483, -58.15785926427687 -26.2108679780345, -58.21788996427688 -26.1860028780345, -58.21812617659191 -26.185891375032067, -58.21835052192584 -26.185757590322673, -58.2185609047644 -26.185602773532352, -58.21875536001103 -26.185428370738844, -58.21893207134203 -26.185236010964417, -58.21908938817209 -26.185027490959843, -58.21922584107164 -26.184804758421745, -58.21934015549223 -26.184569893799953, -58.21943126367152 -26.184325090864935, -58.21949831460676 -26.18407263621672, -58.21954068200373 -26.183814887926715, -58.219557970126594 -26.183554253512003, -58.21955001749436 -26.183293167447715, -58.21951689838917 -26.183034068427656, -58.21945892216251 -26.18277937658549, -58.21937663034562 -26.182531470889312, -58.219270791591335 -26.182292666920716, -58.219142394494426 -26.182065195245933, -58.218992638357506 -26.18185118058106, -58.21882292198893 -26.18165262194599, -58.21863483063705 -26.18147137399242, -58.21843012118313 -26.181309129680347, -58.21821070573105 -26.181167404464826, -58.217978633747165 -26.181047522140783, -58.21773607291709 -26.180950602477978, -58.2174852888983 -26.18087755076173, -58.21722862415759 -26.18082904933702, -58.21696847609105 -26.18080555123503, -58.216707274631034 -26.180807275941515, -58.17541847463103 -26.183078175941514, -58.175142819731846 -26.183107575800843, -58.17487162648006 -26.183165057931635, -58.15757742648005 -26.187768957931635, -58.157335012422735 -26.187845873791627, -58.157100901380296 -26.18794523497375, -58.15687716635394 -26.188066161656845, -58.156665788467535 -26.188207583062038, -58.15646863942525 -26.188368246934242, -58.156287464937996 -26.18854673063062, -58.146551764938 -26.19908543063062, -58.14638557020029 -26.19928356635439, -58.14623907322364 -26.199496679215834, -58.14611361528467 -26.19972281802592, -58.14601034503367 -26.19995991233445, -58.145930207978026 -26.200205791386406, -58.14587393782542 -26.20045820399664, -58.14584204976626 -26.200714839160952, -58.1458348357568 -26.20097334721488, -58.14585236184607 -26.20123136134642, -58.14589446757113 -26.201486519265746, -58.14596076742626 -26.20173648483355, -58.14605065439249 -26.20197896944993, -58.14616330549526 -26.202211753008033, -58.146297689339306 -26.20243270422061, -58.14645257555176 -26.202639800133337, -58.14662654604703 -26.202831144646336, -58.15418054604704 -26.210380044646335)))",#c373a5,false
Venezuela,route,martes,martes,RUTA3-VENEZUEL,2,"SRID=4326;MULTIPOLYGON(((-58.1861 -26.115099999999998, -58.1701 -26.115099999999998, -58.1701 -26.0991, -58.1861 -26.0991, -58.1861 -26.115099999999998)))",#20a8b8,false
Villa Lourdes,route,"miércoles,viernes",miércoles,RUTA3-VILLALO,2,"SRID=4326;MULTIPOLYGON(((-58.1814111854656 -26.17904179230571, -58.181462986575745 -26.179308036852674, -58.18154121285233 -26.179567748545615, -58.1816450764264 -26.179818311654994, -58.18177353121867 -26.180057202592753, -58.181925283475316 -26.18028201532905, -58.18209880479824 -26.180490485624993, -58.18229234753855 -26.1806805138373, -58.18250396239832 -26.1808501860652, -58.182731518063285 -26.180997793426616, -58.18297272266868 -26.18112184926943, -58.18322514688217 -26.181221104144583, -58.18348624837129 -26.18129455839008, -58.18375339740892 -26.18134147219925, -58.184023903359076 -26.181361373071866, -58.184295041776046 -26.181354060572975, -58.18456408184415 -26.18131960835163, -58.20746258184416 -26.177210408351627, -58.20772524251888 -26.177149611273624, -58.207980539149915 -26.17706294787351, -58.20822593132169 -26.176951280524797, -58.208458977176306 -26.17681572041125, -58.20867735771207 -26.17665761646968, -58.2088788998595 -26.1764785419669, -58.20906159810522 -26.17628027884439, -58.20922363444848 -26.176064799986484, -58.20936339649175 -26.17583424958853, -58.20947949348551 -26.17559092182033, -58.20957077016731 -26.17533723799724, -58.209636318257616 -26.175075722486046, -58.209675485497954 -26.174808977585396, -58.20968788214144 -26.174539657630753, -58.20967338483107 -26.174270442581527, -58.20963213782725 -26.174004011353226, -58.20956455157225 -26.17374301516001, -58.209471298606 -26.17349005113288, -58.2093533068737 -26.17324763647605, -58.209211750492045 -26.173018183418645, -58.20904803806575 -26.172803975211014, -58.208863798670755 -26.17260714340447, -58.19606139867076 -26.16022944340447, -58.19591268676978 -26.16009594187104, -58.19575451671809 -26.15997379391294, -58.19122061671808 -26.15673279391294, -58.19099778773096 -26.156589470156373, -58.190761996443804 -26.15646865241926, -58.19051550872155 -26.15637150171428, -58.19026069321783 -26.156298951622897, -58.18999999861308 -26.156251699324002, -58.18973593008368 -26.15623019889429, -58.18532533008369 -26.156088098894287, -58.18505133860732 -26.156093171646013, -58.18477926924135 -26.15612596374925, -58.184511919073195 -26.15618613807534, -58.18425203667319 -26.156273075984814, -58.18400229383715 -26.15638588368747, -58.183765258118164 -26.156523401431258, -58.18354336643014 -26.156684215425436, -58.18333889999446 -26.156866672375465, -58.18315396088715 -26.15706889648015, -58.1829904504279 -26.1572888087164, -58.18285004963307 -26.15752414821318, -58.18273420193342 -26.157772495495067, -58.179781801933416 -26.165042695495067, -58.17968860840468 -26.165312152163626, -58.17962431978405 -26.165589927078415, -58.17958965153091 -26.165872928919846, -58.17958498946359 -26.16615800819857, -58.17961038546561 -26.16644199230571, -58.1814111854656 -26.17904179230571)))",#451503,false
Villa hermosa,route,"lunes,jueves",lunes,RUTA3-VILLAHE,2,"SRID=4326;MULTIPOLYGON(((-58.17763888868949 -26.203178380670092, -58.177881351654186 -26.203287705803316, -58.17813338612377 -26.203372669914238, -58.178392551309855 -26.20343245018122, -58.17865633736776 -26.203466467671625, -58.178922189702696 -26.203474392948387, -58.179187533709324 -26.2034561492604, -58.179449799705125 -26.203411913285816, -58.17970644781611 -26.203342113420998, -58.17995499257381 -26.20324742563182, -58.18019302698542 -26.203128766907355, -58.180418245843924 -26.202987286379454, -58.18062846805254 -26.20282435419415, -58.180821657747174 -26.202641548242692, -58.180995944012466 -26.20244063888071, -58.18114963900035 -26.202223571783477, -58.181281254275774 -26.201992449103336, -58.181389515231196 -26.201749509111707, -58.18195961523119 -26.200279609111707, -58.18203987014514 -26.20004002429779, -58.19111667014514 -26.168049324297794, -58.191178707343205 -26.167778275896577, -58.19121256736007 -26.167502287945748, -58.19121789180302 -26.16722428165076, -58.1911946243153 -26.166947199580317, -58.19114301117254 -26.16667397452063, -58.19010311117254 -26.16239057452063, -58.19002614162024 -26.162131010318717, -58.189923589745156 -26.161880448949365, -58.18979648460211 -26.161641404665794, -58.189646101625215 -26.16141627615326, -58.18947394982955 -26.161207322459482, -58.189281756668976 -26.161016640326274, -58.18907145070207 -26.16084614314982, -58.18884514224 -26.160697541780745, -58.18860510217066 -26.160572327356633, -58.1883537391715 -26.1604717563392, -58.18809357553968 -26.16039683790638, -58.18782722188216 -26.160348323825747, -58.18755735091957 -26.160326700910908, -58.18728667066688 -26.16033218613658, -58.18701789725987 -26.160364724461374, -58.186753727700115 -26.1604239893801, -58.18649681279196 -26.160509386200072, -58.18624973054309 -26.160620058008544, -58.18601496029558 -26.160754894271392, -58.18579485784694 -26.160912541976735, -58.18559163181096 -26.161091419211715, -58.185407321455365 -26.161289731036167, -58.18524377623887 -26.16150548749391, -58.185102637252804 -26.16173652358093, -58.168500137252806 -26.19225142358093, -58.1684074825619 -26.19243860600735, -58.16832955879348 -26.192632384331265, -58.16784385879347 -26.193989484331265, -58.16776690400083 -26.194243057461122, -58.167715151412395 -26.194502947903203, -58.16768909854162 -26.194766657251193, -58.167688995842724 -26.19503165038648, -58.16771484430298 -26.195295379848993, -58.16776639543323 -26.195555310326743, -58.167843153656705 -26.195808943028545, -58.16794438107311 -26.196053839705662, -58.16806910455234 -26.196287646091427, -58.16821612508943 -26.19650811453354, -58.168384029330994 -26.196713125601434, -58.1685712031622 -26.19690070846101, -58.17039360316222 -26.19855620846101, -58.170483209553446 -26.198634085820792, -58.171208609553446 -26.19923708582079, -58.17143094722973 -26.199403363657705, -58.17385774722974 -26.201030863657707, -58.17387398740359 -26.20104167014486, -58.175167187403574 -26.20189547014486, -58.17542548868949 -26.20204618067009, -58.17763888868949 -26.203178380670092)))",#6a4a16,false
Centro 2,route,martes,martes,RUTA4-CENTRO2,3,"SRID=4326;MULTIPOLYGON(((-58.17729553140482 -26.198057649652274, -58.17748151260746 -26.198242957315898, -58.177684595922905 -26.19840934573172, -58.17790286500933 -26.198555244819595, -58.178134260228404 -26.19867927784149, -58.17837659808054 -26.198780274392696, -58.178627591808876 -26.198857281446053, -58.17888487297769 -26.198909572344935, -58.17914601382148 -26.198936653660144, -58.179408550153966 -26.198938269846032, -58.17967000462069 -26.198914405651895, -58.17992791007594 -26.198865286265864, -58.18017983286331 -26.198791375189998, -58.18042339578025 -26.198693369866557, -58.193829395780256 -26.192526469866557, -58.194070156592545 -26.19240069197496, -58.194297076056 -26.192251382216902, -58.194507861993046 -26.192080048812418, -58.19470038519539 -26.19188842244861, -58.1948727009318 -26.191678438797503, -58.19502306859236 -26.191452218963256, -58.19514996927086 -26.191212048056308, -58.19525212110771 -26.190960352110817, -58.19532849223834 -26.190699673578614, -58.195378311216416 -26.190432645647167, -58.195401074806355 -26.190161965641032, -58.19539655306671 -26.189890367775398, -58.19536479167285 -26.189620595537004, -58.19530611145559 -26.189355373971424, -58.19522110516036 -26.189097382156593, -58.19511063145978 -26.188849226140693, -58.19497580627987 -26.18861341261773, -58.19481799152788 -26.188392323606692, -58.19463878133517 -26.188188192390125, -58.19443998595452 -26.1880030809551, -58.178366685954515 -26.1744785809551, -58.178171593799405 -26.17432903465508, -58.17796372116415 -26.174197832473915, -58.17774478761038 -26.174086059740794, -58.17751660419777 -26.173994641060844, -58.17174920419776 -26.171983241060843, -58.17149120625483 -26.171907430985602, -58.17122695192175 -26.171857633862025, -58.17095905711917 -26.171834342644466, -58.170690173805646 -26.171837787898593, -58.166917573805655 -26.17207418789859, -58.16666326442023 -26.172102257592947, -58.16641274881347 -26.17215424895789, -58.16616827201465 -26.172229696065834, -58.16593202493545 -26.17232792278737, -58.1657061247358 -26.172448048850548, -58.16549259585069 -26.172588997729505, -58.1652933518479 -26.172749506291932, -58.16511017827935 -26.172928136118784, -58.16494471667957 -26.17312328639487, -58.16479844985491 -26.173333208254768, -58.16467268859519 -26.173556020455532, -58.16456855992681 -26.17378972623569, -58.164486997012844 -26.174032231209498, -58.16303169701283 -26.179149031209498, -58.16297245308641 -26.179403492803356, -58.16293805573525 -26.179662485791297, -58.1629288263981 -26.17992358991785, -58.162944851321896 -26.180184365199242, -58.16298598075581 -26.180442374724713, -58.16305183035072 -26.18069520742912, -58.16314178475077 -26.18094050062405, -58.1642025847508 -26.183450600624052, -58.16433699773616 -26.183724431833085, -58.164501411420744 -26.18398137253051, -58.16469373140484 -26.184218149652274, -58.17729553140482 -26.198057649652274)))",#8f7f29,false
Don Bosco,route,"miércoles,viernes",miércoles,RUTA4-DONBOSC,3,"SRID=4326;MULTIPOLYGON(((-58.21207378867432 -26.205003928809713, -58.21233249452713 -26.205037221100405, -58.212593204863616 -26.20504541959742, -58.21285349135513 -26.205028447937664, -58.21311092962087 -26.20498646419991, -58.213363121809174 -26.20491985943237, -58.213607718931826 -26.204829254010384, -58.21384244274315 -26.204715491858067, -58.21406510696025 -26.20457963258777, -58.21427363762663 -26.20442294163054, -58.21446609242965 -26.20424687844956, -58.2146406787917 -26.204053082946295, -58.21479577056684 -26.203843360185992, -58.214929923187086 -26.20361966358481, -58.215041887117614 -26.20338407671514, -58.21513061949522 -26.203138793898646, -58.215195293841845 -26.20288609976775, -58.21523530776262 -26.2026283479859, -58.215250288556746 -26.20236793932493, -58.21524009668895 -26.202107299303574, -58.215204827089124 -26.201848855595525, -58.215144808268136 -26.201595015417407, -58.21506059925798 -26.201348143107275, -58.21495298440481 -26.20111053810253, -58.21482296606333 -26.20088441352231, -58.21467175526055 -26.200671875553883, -58.21450076041595 -26.200474903835037, -58.21431157422313 -26.200295333015177, -58.21410595881492 -26.20013483566689, -58.21388582935045 -26.199994906707143, -58.20505322935046 -26.194961606707142, -58.204777276755124 -26.194824567125586, -58.17900347675513 -26.183808967125586, -58.178755820321115 -26.183717155462997, -58.178500384756106 -26.183649956037222, -58.17823960961461 -26.18360801064088, -58.17797598544712 -26.183591719876308, -58.177712030013936 -26.18360123932953, -58.17745026423914 -26.18363647808438, -58.17345206423914 -26.18437517808438, -58.17319560213136 -26.184435622803477, -58.17294624459538 -26.184520753268323, -58.17270636164266 -26.184629760358888, -58.17247823323378 -26.184761608020438, -58.17226402760857 -26.184915043110703, -58.17206578067819 -26.18508860731032, -58.17188537667482 -26.18528065098339, -58.17172453024309 -26.185489348856393, -58.17158477014324 -26.185712717366453, -58.17146742472109 -26.185948633514045, -58.16910432472108 -26.191344233514045, -58.16901201906077 -26.191585840047836, -58.16894323044535 -26.19183516348934, -58.1688985888269 -26.19208992058541, -58.168878503024246 -26.192347778322596, -58.16888315697907 -26.192606375292417, -58.168912508071394 -26.192863343316642, -58.16896628750992 -26.1931163291346, -58.169044002793534 -26.193363015953842, -58.169144942221536 -26.193601144666875, -58.169268181411276 -26.19382853453958, -58.16941259176341 -26.194043103181954, -58.169576850797455 -26.1942428856182, -58.16975945426271 -26.194426052281575, -58.169958729913944 -26.19459092576919, -58.17017285282546 -26.194735996203327, -58.17398515282546 -26.197060796203328, -58.17430624891706 -26.197228192915752, -58.17803504891707 -26.198864492915753, -58.17833559779235 -26.19897563715769, -58.17864718867433 -26.199050428809713, -58.21207378867432 -26.205003928809713)))",#b4b43c,false
Fontana,route,"lunes,jueves",lunes,RUTA4-FONTANA,3,"SRID=4326;MULTIPOLYGON(((-58.24190497045246 -26.204171229276415, -58.24216384836883 -26.204211971991928, -58.242425455226176 -26.204227450901673, -58.24268733140119 -26.2042175204732, -58.2429470147385 -26.20418227407223, -58.2432020636997 -26.20412204308484, -58.24345008031875 -26.204037393801755, -58.243688732747565 -26.203929122094117, -58.24391577718001 -26.203798245930702, -58.24412907894814 -26.203645995807005, -58.24432663259231 -26.20347380317613, -58.24450658071648 -26.203283286990306, -58.2446672314514 -26.20307623847951, -58.24480707436157 -26.20285460431037, -58.24492479464627 -26.202620468283623, -58.245019285501385 -26.202376031742258, -58.24508965852547 -26.202123592874543, -58.24513525207254 -26.201865525106466, -58.24515563747281 -26.201604254786854, -58.24515062306312 -26.20134223837487, -58.24512025598884 -26.201081939344423, -58.24506482176071 -26.20082580502262, -58.24498484157039 -26.200576243580063, -58.24488106739032 -26.20033560138924, -58.24475447490357 -26.200106140964, -58.24460625433059 -26.1998900196874, -58.24443779923872 -26.199689269528058, -58.2442506934399 -26.199505777935606, -58.24404669609971 -26.199341270094912, -58.243827725197725 -26.199197292705936, -58.24359583949468 -26.19907519944167, -58.24335321917608 -26.198976138220935, -58.190112419176074 -26.180194538220935, -58.19000388645425 -26.180158812631575, -58.176418586454254 -26.176003112631577, -58.17617079545071 -26.175939964262614, -58.175918145542795 -26.175900516550758, -58.175662898359164 -26.175885122617352, -58.17540733877831 -26.175893920263203, -58.1751537544752 -26.175926830735033, -58.174904415442846 -26.175983559430456, -58.17466155367216 -26.176063598535144, -58.174427343172006 -26.1761662315686, -58.17420388050826 -26.176290539797822, -58.17399316603615 -26.176435410461455, -58.16685796603615 -26.181855410461456, -58.16665591634119 -26.182025061142074, -58.16647137028074 -26.182213603403216, -58.166306086391195 -26.182419240628743, -58.16616163966006 -26.18264001330488, -58.166039406517875 -26.18287381769239, -58.16594055172227 -26.18311842587306, -58.165866017258985 -26.183371506979523, -58.16581651336571 -26.18363064940603, -58.16579251176423 -26.183893383788615, -58.16579424116542 -26.184157206535616, -58.165821685089846 -26.18441960368438, -58.1658745820248 -26.18467807485673, -58.16595242791624 -26.184930157085084, -58.166054480971944 -26.18517344828198, -58.16617976873 -26.185405630129562, -58.16632709732539 -26.185624490170785, -58.166495062866346 -26.185827942891876, -58.166682064811944 -26.186014049595162, -58.16688632122369 -26.186181036872895, -58.16710588574556 -26.186327313506023, -58.167338666150805 -26.186451485626893, -58.1714959661508 -26.188414785626893, -58.171722826233534 -26.188509554222463, -58.17195735963403 -26.188583315105713, -58.19049925963403 -26.193500115105714, -58.19064287045246 -26.193534029276417, -58.24190497045246 -26.204171229276415)))",#11214f,false
