pedido_ref,mes,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,line_total,cantidad_lineas_origen,is_mock
ERP-MARZO-1,marzo,1,309,NARANJA 1.5 lts. X6 PLACER,6.0,5520.66,33123.96,1,false
ERP-MARZO-1,marzo,1,311,MANZANA 1.5 lts. X6 PLACER,2.0,5851.24,11702.48,1,false
ERP-MARZO-1,marzo,1,312,PERA 1.5 lts. X6 PLACER,2.0,5851.24,11702.48,1,false
ERP-MARZO-1,marzo,1,313,ANANA 1.5 lts. X6 PLACER,7.0,5709.56,39966.92,1,false
ERP-MARZO-1,marzo,1,314,MULTIFRUTA 1.5 lts. X6 PLACER,1.0,6181.82,6181.82,1,false
ERP-MARZO-1,marzo,1,315,SODA SIFON 2 lts. X6 MANAOS,11.0,7966.94,87636.34,1,false
ERP-MARZO-1,marzo,1,316,AGUA 600ml X12 VILLA MANAOS,2.0,4553.72,9107.44,1,false
ERP-MARZO-1,marzo,1,318,AGUA 2 lts. X6 VILLA MANAOS,36.0,3829.66,137867.76,3,false
ERP-MARZO-1,marzo,1,319,AGUA BIDON 6lts. VILLA MANAOS,3.0,1842.98,5528.94,1,false
ERP-MARZO-1,marzo,1,322,MULTIFRUTA 1 LITRO X8 PINDAPOY,3.0,10013.77,30041.31,1,false
ERP-MARZO-1,marzo,1,346,MULTIFRUTA 200 CC X18 PINDAPOY,2.0,5719.01,11438.02,1,false
ERP-MARZO-1,marzo,1,356,AGUA EL SANO CORAZON ARGENTINO 1.5 LTS. X 6 S/GAS,2.0,3644.63,7289.26,1,false
ERP-MARZO-1,marzo,1,379,DURAZNO 200 CC X18 PINDAPOY,1.0,5719.01,5719.01,1,false
ERP-MARZO-1,marzo,1,393,AGUA EL SANO CORAZON ARGENTINO 500 ML X 12 S/GAS,2.0,4148.76,8297.52,1,false
ERP-MARZO-1,marzo,1,424,PACK SURTIDO 3 LTS MANAOS,6.0,8925.62,53553.72,2,false
ERP-MARZO-1,marzo,1,425,PACK SURTIDO 2.25 LTS MANAOS,1.0,8239.67,8239.67,1,false
ERP-MARZO-1,marzo,1,430,PALITOS DE MAIZ (NARANJA) 5X120G OVNI,6.0,3195.59,19173.54,1,false
ERP-MARZO-1,marzo,1,431,PALITOS DE MAIZ (NARANJA) 5X50G OVNI,4.0,1607.44,6429.76,2,false
ERP-MARZO-1,marzo,1,432,PALITOS DE MAIZ (AMARILLO) 5X120G OVNI,10.0,3090.91,30909.10,1,false
