pedido_ref,mes,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,line_total,cantidad_lineas_origen,is_mock
ERP-MARZO-1,marzo,1,433,MAIZ INFLADO / TUTUCA 5X200G OVNI,2.0,5099.18,10198.36,1,false
ERP-MARZO-1,marzo,1,453,PALITOS GALÁCTICO  1X150G OVNI,6.0,1148.76,6892.56,1,false
ERP-MARZO-1,marzo,1,464,CONITOS GALACTICOS 1X180GR OVNI,1.0,2603.31,2603.31,1,false
ERP-MARZO-1,marzo,1,470,SERRANITOS GALÁCTICOS 1X150GR OVNI,1.0,1148.76,1148.76,1,false
ERP-MARZO-1,marzo,1,472,TONICA SIN AZÚCAR MANAOS 2.25 LTS.,1.0,8223.14,8223.14,1,false
ERP-MARZO-1000,marzo,1000,295,COLA 3 lts. X 6  MANAOS,2.0,8925.62,17851.24,1,false
ERP-MARZO-1000,marzo,1000,297,NARANJA 3 lts. X 6 MANAOS,2.0,8925.62,17851.24,1,false
ERP-MARZO-1000,marzo,1000,300,MANZANA 3 lts. X 6  MANAOS,3.0,8925.62,26776.86,1,false
ERP-MARZO-1000,marzo,1000,301,POMELO BLANCO 3 lts. X 6 MANAOS,2.0,8925.62,17851.24,1,false
ERP-MARZO-1000,marzo,1000,315,SODA SIFON 2 lts. X6 MANAOS,2.0,7966.94,15933.88,1,false
ERP-MARZO-100006,marzo,100006,295,COLA 3 lts. X 6  MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100006,marzo,100006,296,LIMA LIMON 3 LTS. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100006,marzo,100006,297,NARANJA 3 lts. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100008,marzo,100008,295,COLA 3 lts. X 6  MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100008,marzo,100008,296,LIMA LIMON 3 LTS. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100008,marzo,100008,297,NARANJA 3 lts. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100008,marzo,100008,300,MANZANA 3 lts. X 6  MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100008,marzo,100008,301,POMELO BLANCO 3 lts. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100010,marzo,100010,10069,CUBICUB DUO FRUTILLA C/CREMA 1X100GRS GAONA,2.0,0.00,0.00,1,false
ERP-MARZO-100010,marzo,100010,10076,SINFONIA (CLASICA) AGRUPADA 4X50GRS GAONA,6.0,549.59,3297.54,1,false
ERP-MARZO-100010,marzo,100010,10098,MAGDALENA COCO RELL. DDL 1X215GRS GAONA,5.0,1429.75,7148.75,1,false
ERP-MARZO-100010,marzo,100010,10124,PEPA 1X300GRS GAONA,5.0,1041.32,5206.60,1,false
ERP-MARZO-100010,marzo,100010,10125,PEPA 1X180GRS GAONA,5.0,694.22,3471.10,1,false
ERP-MARZO-100010,marzo,100010,295,COLA 3 lts. X 6  MANAOS,4.0,8925.62,35702.48,1,false
ERP-MARZO-100010,marzo,100010,296,LIMA LIMON 3 LTS. X 6 MANAOS,2.0,8925.62,17851.24,1,false
ERP-MARZO-100010,marzo,100010,297,NARANJA 3 lts. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100010,marzo,100010,301,POMELO BLANCO 3 lts. X 6 MANAOS,3.0,8925.62,26776.86,1,false
ERP-MARZO-100010,marzo,100010,432,PALITOS DE MAIZ (AMARILLO) 5X120G OVNI,3.0,3090.91,9272.73,1,false
ERP-MARZO-100012,marzo,100012,10047,POMELO ROSADO 1.5 LTS X6 PLACER,2.0,5520.66,11041.32,1,false
ERP-MARZO-100012,marzo,100012,295,COLA 3 lts. X 6  MANAOS,3.0,8925.62,26776.86,1,false
ERP-MARZO-100012,marzo,100012,296,LIMA LIMON 3 LTS. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100012,marzo,100012,297,NARANJA 3 lts. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100012,marzo,100012,301,POMELO BLANCO 3 lts. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100012,marzo,100012,315,SODA SIFON 2 lts. X6 MANAOS,4.0,7966.94,31867.76,1,false
ERP-MARZO-100012,marzo,100012,440,PAPAS FRITAS 5X90G OVNI,1.0,6057.85,6057.85,1,false
ERP-MARZO-100015,marzo,100015,295,COLA 3 lts. X 6  MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100015,marzo,100015,296,LIMA LIMON 3 LTS. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100015,marzo,100015,300,MANZANA 3 lts. X 6  MANAOS,2.0,8925.62,17851.24,1,false
ERP-MARZO-100015,marzo,100015,301,POMELO BLANCO 3 lts. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100016,marzo,100016,10076,SINFONIA (CLASICA) AGRUPADA 4X50GRS GAONA,1.0,1099.17,1099.17,1,false
ERP-MARZO-100016,marzo,100016,301,POMELO BLANCO 3 lts. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100016,marzo,100016,307,ANANA 500ml X12 PLACER,2.0,5884.30,11768.60,1,false
ERP-MARZO-100016,marzo,100016,310,POMELO 1.5 lts. X6 PLACER,1.0,5520.66,5520.66,1,false
ERP-MARZO-100016,marzo,100016,313,ANANA 1.5 lts. X6 PLACER,1.0,5520.66,5520.66,1,false
ERP-MARZO-100016,marzo,100016,316,AGUA 600ml X12 VILLA MANAOS,4.0,4553.72,18214.88,1,false
ERP-MARZO-100016,marzo,100016,318,AGUA 2 lts. X6 VILLA MANAOS,5.0,3809.92,19049.60,1,false
ERP-MARZO-100016,marzo,100016,356,AGUA EL SANO CORAZON ARGENTINO 1.5 LTS. X 6 S/GAS,1.0,3644.63,3644.63,1,false
ERP-MARZO-100016,marzo,100016,393,AGUA EL SANO CORAZON ARGENTINO 500 ML X 12 S/GAS,1.0,4148.76,4148.76,1,false
ERP-MARZO-100016,marzo,100016,432,PALITOS DE MAIZ (AMARILLO) 5X120G OVNI,1.0,3090.91,3090.91,1,false
ERP-MARZO-100016,marzo,100016,433,MAIZ INFLADO / TUTUCA 5X200G OVNI,7.0,5172.37,36206.59,1,false
ERP-MARZO-100017,marzo,100017,295,COLA 3 lts. X 6  MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100017,marzo,100017,318,AGUA 2 lts. X6 VILLA MANAOS,2.0,3809.92,7619.84,1,false
ERP-MARZO-100017,marzo,100017,433,MAIZ INFLADO / TUTUCA 5X200G OVNI,1.0,5099.17,5099.17,1,false
ERP-MARZO-100017,marzo,100017,437,MAIZ INFLADO / TUTUCA 5X50G OVNI,1.0,1727.27,1727.27,1,false
ERP-MARZO-100019,marzo,100019,295,COLA 3 lts. X 6  MANAOS,2.0,8925.62,17851.24,1,false
ERP-MARZO-100019,marzo,100019,297,NARANJA 3 lts. X 6 MANAOS,2.0,8925.62,17851.24,1,false
ERP-MARZO-100019,marzo,100019,301,POMELO BLANCO 3 lts. X 6 MANAOS,2.0,8925.62,17851.24,1,false
ERP-MARZO-100020,marzo,100020,10057,SABORES DE LA VIDA AVENA/PASAS 1X160GRS GAONA,8.0,867.77,6942.16,1,false
ERP-MARZO-100020,marzo,100020,10058,SABORES DE LA VIDA AVENA/CHIPS 1X160GRS GAONA,3.0,867.77,2603.31,1,false
ERP-MARZO-100020,marzo,100020,10059,SABORES DE LA VIDA AVENA/MANZANA 1X160GRS GAONA,4.0,867.77,3471.08,1,false
ERP-MARZO-100020,marzo,100020,10060,SABORES DE LA VIDA AVENA/COCO/CHIPS DDL 1X160GRS G,4.0,867.77,3471.08,1,false
ERP-MARZO-100020,marzo,100020,10061,SABORES DE LA VIDA AVENA/MIEL 1X160GRS GAONA,3.0,867.77,2603.31,1,false
ERP-MARZO-100020,marzo,100020,10062,SABORES DE LA VIDA AVENA/CACAO/MIEL 1X160GRS GAONA,3.0,867.77,2603.31,1,false
ERP-MARZO-100020,marzo,100020,316,AGUA 600ml X12 VILLA MANAOS,14.0,4553.72,63752.08,1,false
ERP-MARZO-100020,marzo,100020,318,AGUA 2 lts. X6 VILLA MANAOS,11.0,3809.92,41909.12,1,false
ERP-MARZO-100021,marzo,100021,10040,MANAOS LATA COLA X6 UNIDADES,1.0,4677.69,4677.69,1,false
ERP-MARZO-100021,marzo,100021,283,NARANJA 600ml X 12 MANAOS,1.0,7099.17,7099.17,1,false
ERP-MARZO-100021,marzo,100021,295,COLA 3 lts. X 6  MANAOS,2.0,8925.62,17851.24,1,false
ERP-MARZO-100021,marzo,100021,300,MANZANA 3 lts. X 6  MANAOS,1.0,8925.62,8925.62,1,false
