codigo,codigo_secundario,descripcion_larga,division,rubro,um_ventas,cant_minima_venta,um_compras,um_precio_sugerido,bu_un,bu_di,di_un,un_bu,hi_bu,pa_hi,pa_bu
3312,3312,ALF. TATIN NEGRO 56X33G,HARINAS,CHOCOLATES ARCOR J.V.,UN,1,BU,UN,56,56,1,0.0178571,1,,1
3313,3313,ALF. TATIN BLANCO 56X33G,HARINAS,CHOCOLATES ARCOR J.V.,UN,1,BU,UN,56,56,1,0.0178571,1,,1
3315,3315,CAR DUR RELL DELIC BROW 36X150,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,900,36,25,0.001111111,1,,1
3317,3317,CAR DELICIAS LEMON PIE 36X150G,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,900,36,25,0.001111111,1,,1
3318,3318,CAR DELICIAS SURTIDO 6X810GRS,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,810,6,135,0.001234568,1,,1
3322,3322,CAR. SURTIDO AMAZONIA * 810 GR,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,972,6,162,0.001028807,16,,144
3323,3323,CAR.BC POMELO ROS.12,GOLOSINAS,DIV.GOLOSINAS,DI,1,BU,UN,144,12,12,0.006944444,15,13,195
3324,3324,CAR.BC SURTIDOS 36X7,GOLOSINAS,DIV.GOLOSINAS,DI,1,BU,UN,972,36,27,0.001028807,10,8,80
3325,3325,CHOC. COFLER AIR. C/ALM * 30 G,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,160,8,20,0.00625,8,8,64
3326,3326,CHOC. COFLER AIR. C/ALM. * 60,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,80,8,10,0.0125,9,8,72
3327,3327,CHOC. COFLER AIR. C/ALM. * 100,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,64,4,16,0.015625,9,7,63
3328,3328,CHICLE ESTIRO. MADAGASC. 12 *,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,72,6,12,0.0138889,6,5,30
3329,3329,CHICLE NEO SUPERAC. UVA * 125,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,2250,18,125,0.000444444,1,,1
3330,3330,PAN DULCE ARCOR C/FRUTAS * 600,HARINAS,DIV.HARINAS,UN,0,BU,UN,6,6,1,0.166666667,1,,1
3331,3331,PAN DULCE VENECIANO C/CHOC 6X500G,HARINAS,DIV.HARINAS,UN,0,BU,UN,6,6,1,0.166666667,1,,1
3332,3332,PAN DULCE PREMIUM LATA * 850 G,HARINAS,DIV.HARINAS,UN,0,BU,UN,4,4,1,0.25,1,,1
3333,3333,PAN DULCE ARCOR S/FRUTAS * 500,HARINAS,DIV.HARINAS,UN,0,BU,UN,6,6,1,0.166666667,1,,1
3334,3334,PAN DULCE ARCOR C/FRUTAS 20X100G,HARINAS,DIV.HARINAS,UN,0,BU,UN,20,20,1,0.05,1,,1
3336,3336,B.TOFF LEMON PIE 6X 959G,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,DI,810,6,135,0.00123457,16,8,128
3337,3337,CHUP BEN 10 MZA 24 * 17 GRS,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,288,12,24,0.00347222,1,,1
3338,3338,HUEVITO BON O BON ZANAHORIA 12,CHOCOLATES,DIV. CHOCOLATES,DI,0,BU,UN,216,18,12,0.00462963,1,,1
3340,3340,COFLER LECHE 18 * 28 GRS,CHOCOLATES,DIV. CHOCOLATES,DI,0,BU,UN,216,12,18,0.00462963,9,,72
3341,3341,COFLER LECHE/ALMENDRAS 18 * 28,CHOCOLATES,DIV. CHOCOLATES,DI,0,BU,UN,216,12,18,0.00462963,9,,72
3342,3342,CHOC.COFLER CCEREAL 12X18X25 G,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,216,12,18,0.00462963,1,,1
3343,3343,COFLER BLANCO C/COOKIE 18 * 28,CHOCOLATES,DIV. CHOCOLATES,DI,0,BU,UN,216,12,18,0.00462963,9,,72
3344,3344,CHOC. AGUILA ECUADOR * 100 GRS,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,80,4,20,0.0125,9,,72
3346,3346,BARRA CER/FTA.FRUTILLA 24X6X32,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,144,24,6,0.006944444,1,,1
3347,3347,BARRA CER/FTA.FRUTILLA 6X18X32,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,108,6,18,0.009259259,1,,1
3348,3348,BARRA CER/FTA.MANZANA 24X6X32G,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,144,24,6,0.006944444,1,,1
3349,3349,BARRA CER/FTA.MANZANA 6X18X32G,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,108,6,18,0.009259259,1,,1
3352,3352,ESTUCHE 9x2x85 g.TENTACIO.B&N,HARINAS,DIV.HARINAS BAGLEY,DI,0,BU,UN,18,9,2,0.055555556,1,,1
3353,3353,HELADO MR POP CRAZY 24 * 100 C,CHOCOLATES,HELADOS,BU,0,BU,UN,24,1,1,0.0416667,1,,1
3354,3354,PAN DULCE CAPA ALM. 6X650G,HARINAS,DIV.HARINAS,UN,0,BU,UN,6,6,1,0.166666667,1,,1
3364,3364,PAN DULCE ARCOR C/CHOC 20X100G,HARINAS,DIV.HARINAS,UN,0,BU,UN,20,20,1,0.05,1,,1
3365,3365,TABLETA LEC/BCO.CABSHA * 100 G,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,84,6,14,0.011904762,10,,70
3373,3373,PAN DULCE MADRILEÑO C/CHOC.* 5,HARINAS,DIV.HARINAS,UN,0,BU,UN,6,6,1,0.166666667,1,,1
3377,3377,PAN DULCE C/ALMENDRA * 600 GRS,HARINAS,DIV.HARINAS,UN,0,BU,UN,6,6,1,0.166666667,1,,1
3379,3379,PAN DULCE NOELIA * 400 GRS.,HARINAS,DIV.HARINAS,UN,0,BU,UN,8,8,1,0.125,1,,1
3382,3382,BIZCOCHOS AZUCARADOS 24X225G,HARINAS,DIV.HARINAS,UN,0,BU,UN,24,24,1,0.041666667,1,,1
3383,3383,PAN DULCE C/ALMENDRA,HARINAS,DIV.HARINAS,UN,0,BU,UN,6,6,1,0.166666667,1,,1
3419,3419,BEBIDA BC LC NAR/MZA/MA * 200,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.0416667,1,,1
3420,3420,MANI C/CHOC. ARCOR 18 * 40 GRS,CHOCOLATES,DIV. CHOCOLATES,DI,0,BU,UN,216,12,18,0.00462963,1,,1
3421,3421,MANI C/CHOC. ARCOR 20 * 20 GRS,CHOCOLATES,DIV. CHOCOLATES,DI,0,BU,UN,240,12,20,0.00416667,1,,1
3425,3425,MANI C/CHOC ARCOR * 120 GRS,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,30,30,1,0.0333333,1,,1
3426,3426,MOGUL MORAS 12 * 40 GRS,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,144,12,12,0.006944444,1,,1
3430,3430,GALL. DULCE CHOCOL * 110 GRS T,HARINAS,DIV.HARINAS,UN,0,BU,UN,24,24,1,0.041666667,1,,1
3431,3431,OFERTA RELL.2 BSAS.MIEL+MTA+CI,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,540,6,90,0.001851852,1,,1
3434,3434,CAR. RELLENO MIEL * 810 GRS,GOLOSINAS,DIV.GOLOSINAS,DI,1,BU,UN,810,6,135,0.001234568,16,,144
3435,3435,CAR. MENTA CHOCOLATE * 810 GRS,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,810,6,135,0.001234568,16,,128
3436,3436,CAR. MIEL + MENTA * 405 GRS.,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,810,12,67.5,0.001234568,16,,128
3437,3437,CAR. EUCALIPTOL * 405 GRS.,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,696,12,58,0.001436782,16,,128
3438,3438,RELLENOS MENTA X 450 GRS,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,768,12,64,0.001302083,1,,1
3439,3439,CAR. SAQUITO SURTIDO * 405 GRS,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,816,12,68,0.00122549,16,,128
3440,3440,CAR.RELL.MIEL-CITRUS 12X405G,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,810,12,67.5,0.001234568,1,,1
3441,3441,CHICLE NEO MELON/FRUT. * 125 U,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,2250,18,125,0.000444444,1,,1
3442,3442,BASTON VIENA 12 *470 GRS.,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,768,12,64,0.001302083,16,,144
3443,3443,RELLENOS FRUTILLA X 405 GRS.,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,756,12,63,0.001322751,1,,1
3444,3444,FRUTILLA CHOCOLATE x 405 grs.,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,804,12,67,0.001243781,1,,1
3445,3445,SALSA NUTRIR ZAPALLO/ESPINACA,ALIMENTOS,DIV. ALIMENTOS,UN,0,BU,UN,24,24,1,0.041666667,1,,1
3446,3446,CHICLE NG ESTIROM T/FRUT,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,72,6,12,0.0138889,1,,1
3447,3447,SALSA NUTRIR ZANAHORIA * 350 G,ALIMENTOS,DIV. ALIMENTOS,UN,0,BU,UN,24,24,1,0.041666667,1,,1
3448,3448,SALSA NUTRIR REMOLACHA * 350 G,ALIMENTOS,DIV. ALIMENTOS,UN,0,BU,UN,24,24,1,0.041666667,1,,1
3449,3449,CHICLE POOSH UVA C/RELLENO * 5,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,800,16,50,0.00125,1,,1
3450,3450,CHIC.POOSH SANDIA 16,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,DI,800,16,50,0.00125,12,7,84
3451,3451,BIZCOCHOS AZUC.24X225 G.ARCOR,HARINAS,DIV.HARINAS,UN,0,BU,UN,24,24,1,0.041666667,1,,1
3455,3455,CAR. BUTTER TOFFEES GOLD * 959,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,810,6,135,0.00123457,1,,1
3457,3457,BARRA SER CITRUS 20 * 23 GRS,HARINAS,CHOCOLATES BAGLEY JV,DI,0,BU,UN,120,6,20,0.008333333,14,,112
3458,3458,BARRA SER FRUTILLA/ CHOC.  * 2,HARINAS,CHOCOLATES BAGLEY JV,UN,0,BU,UN,120,6,20,0.008333333,1,,1
3459,3459,BARRA SER VERANO ANANA/KIWI *,HARINAS,CHOCOLATES BAGLEY JV,UN,0,BU,UN,120,6,20,0.00833333,1,,1
3460,3460,OBLEA BLANCA CABSHA 40X10G,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,240,6,40,0.004166667,1,,1
3462,3462,OBLEA B-O-B RELL. CHOC. 20 * 2,CHOCOLATES,DIV. CHOCOLATES,DI,0,BU,UN,160,8,20,0.00625,9,,81
3464,3464,CAR. MAST. MOGUL TUTTI * 90 UN,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,1080,12,90,0.000925926,1,,1
3465,3465,OBLEA B-O-B LECHE 8X20X30G,CHOCOLATES,DIV. CHOCOLATES,UN,4,BU,UN,160,8,20,0.00625,9,,72
3466,3466,OBLEA B-O-B BLANCA 8X20X30G,CHOCOLATES,DIV. CHOCOLATES,UN,4,BU,UN,160,8,20,0.00625,9,,72
3467,3467,OBLEA B-O-B LECHE 32X3X30G,CHOCOLATES,DIV. CHOCOLATES,DI,1,BU,UN,96,32,3,0.010416667,1,,1
3468,3468,OBLEA B-O-B BCA. AGRUP. 32X3X30G,CHOCOLATES,DIV. CHOCOLATES,DI,0,BU,DI,96,32,3,0.010416667,1,1,1
3469,3469,OBLEA CABSHA 40*10 GRS.,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,240,6,40,0.004166667,1,,1
3470,3470,OBLEA BoB BLANCA AGRUP.24X8X20,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,192,24,8,0.005208333,1,,1
3471,3471,OBLEA BoB LECHE AGRUP.24X8X20,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,192,24,8,0.005208333,1,,1
3479,3479,OBLEA B-O-B LECHE 24,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,144,24,6,0.006944444,1,,1
3483,3483,MOGUL CONFITADO 12X1,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,144,12,12,0.006944444,8,10,80
3484,3484,ROLLO RELLENOS DE MIEL x 12 un,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,144,12,12,0.006944444,1,,1
3485,3485,ROLLO BUTTER CREAM x 12 un.,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,144,12,12,0.006944444,1,,1
3486,3486,ROL.BUT-CREAM CHOC.1,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,144,12,12,0.006944444,1,,1
3489,3489,CAR. ROLLO RELLENO MIEL * 12 UNID.,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,144,12,12,0.006944444,1,,1
3490,3490,COFLER LECHE  * 55 GRS,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,120,12,10,0.008333333,13,,78
3491,3491,COFLER LECHE/ALMENDRA  * 55 GR,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,120,12,10,0.008333333,13,,78
3492,3492,COFLER BLANCO  * 55 GRS,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,120,12,10,0.008333333,13,,78
3493,3493,COFLER LECHE Y CEREAL 10 * 55,CHOCOLATES,DIV. CHOCOLATES,DI,0,BU,UN,120,12,10,0.008333333,13,,78
3494,3494,COFLER CROCANTE  * 55 GRS,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,120,12,10,0.008333333,13,,78
3495,3495,CHOCOLATE LECHE C/ALMENDRA * 1,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,40,4,10,0.025,12,,72
3496,3496,CHOCOLATE LECHE * 180 GRS,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,40,4,10,0.025,12,,72
3497,3497,CHOCOLATE CROCANTE * 180 GRS,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,40,4,10,0.025,12,,72
3500,3500,COFLER LIGHT YOGURT FRUT 12X20X27G,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,240,12,20,0.004166667,16,,80
3501,3501,PASAS DE UVA C/CHOC 30X100GR,CHOCOLATES,DIV. CHOCOLATES,UN,1,BU,UN,30,30,1,0.033333333,1,,1
3505,3505,CEREAL CINDOR BOLITAS * 200 GR,HARINAS,DIV.HARINAS BAGLEY,DI,0,BU,DI,20,20,1,0.05,5,7,35
3506,3506,CEREAL CINDOR 16X414,HARINAS,DIV.HARINAS BAGLEY,UN,0,BU,UN,16,16,1,0.0625,5,6,30
3508,3508,CEREAL MILK CHOC.C/LEC.20X5X21,HARINAS,CHOCOLATES ARCOR J.V.,DI,0,BU,UN,100,20,5,0.01,17,,85
3511,3511,CEREAL MIX YOGURT / FRUT. 3 *,HARINAS,CHOCOLATES ARCOR J.V.,DI,0,BU,UN,96,32,3,0.010416667,9,,99
3512,3512,CEREALMIX  YOGHURT/FRUT.6X20X28,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,120,6,20,0.008333333,1,,1
3513,3513,CHUPETIN T.FRUTI MUNDIAL * 12.,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,72,9,8,0.0138889,1,,1
3514,3514,BARRA CER.YOGURT/VAIN.6X20X28G,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,120,6,20,0.008333333,1,,1
3515,3515,CEREAL MIX YOGURT/VAINILLA 3 *,HARINAS,CHOCOLATES ARCOR J.V.,DI,0,BU,UN,96,32,3,0.010416667,9,,99
3516,3516,CHUP.MR.POPS BEN10,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,72,9,8,0.0138889,1,,1
3518,3518,AGRUPADO ROLLO MOGUL 3 * 25 GR,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,72,24,3,0.013888889,16,,272
3519,3519,GOMA TUTTI FRUTI x 900 G.,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,1080,6,180,0.000925926,1,,1
3520,3520,GOMA TUTTI-FRUTTI X 250G,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,800,16,50,0.00125,1,,1
3521,3521,MOGUL MENTOL x 250 GRS.,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,16,16,1,0.0625,1,,1
3526,3526,CEREAL MIX YOGHURT X 28 G.,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,120,6,20,0.008333333,1,,1
3530,3530,TURRÓN DE MANI CISKO 4X24X80 G,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,96,4,24,0.010416667,1,,1
3531,3531,TURRON MANI/ALM.BAÑADO 35X90G,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,35,35,1,0.028571429,1,,1
3534,3534,TURRON COCO BAÑADO C/CHOC. 35X90G,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,35,1,35,0.028571429,1,,1
3537,3537,ALF.  AGRU. CABSHA SEMIAM 6X47,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,96,16,6,0.010416667,1,,1
3538,3538,ALF.  AGRU. CABSHA BLANCO 6X47G,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,96,16,6,0.010416667,1,,1
3540,3540,TURRON CRCTE.MANI AR,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,24,24,1,0.041666667,1,,1
3541,3541,TURRON MANI/YEMA ARC,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,30,30,1,0.033333333,1,,1
3542,3542,TURRON MANI MIEL C/C,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,30,30,1,0.033333333,1,,1
3543,3543,TUR.ALICANTE BA#/CHO,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,30,30,1,0.033333333,1,,1
3544,3544,TURRON MANI C/MIEL 3,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,30,30,1,0.033333333,1,,1
3545,3545,TURRON COCO BAÑ. C/CHOC. * 90,GOLOSINAS,DIV.GOLOSINAS,UN,1,BU,UN,35,35,1,0.028571429,1,,1
3546,3546,MENTHO PLUS CITRIX MAND. * 12,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,144,12,12,0.00694444,1,,1
3547,3547,MENTHO PLUS CITRIX BLUEB. * 12,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,144,12,12,0.00694444,1,,1
3548,3548,PAPA NOEL BLANCO 6X1,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,72,6,12,0.013888889,1,,1
3567,3567,TURR.DE MANI ARCOR 3,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,48,3,16,0.020833333,1,,1
3568,3568,TURR.DE MANI C/FRU.A,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,48,3,16,0.020833333,1,,1
3569,3569,ALF. CABSHA BLANCO X 47 GRS.,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,30,30,1,0.033333333,1,,1
3570,3570,BON O BON SUAVE * 510 GRS.,CHOCOLATES,DIV. CHOCOLATES,DI,0,BU,UN,360,12,30,0.002777778,8,,64
3576,3576,HUEVOS TOY`S 12 UNID. 8X12X22G,CHOCOLATES,DIV. CHOCOLATES,DI,0,BU,UN,96,8,12,0.010416667,8,,88
3577,3577,HUEVO TOY`S 2 UNID. * 22 GRS.,CHOCOLATES,DIV. CHOCOLATES,DI,0,BU,UN,48,24,2,0.020833333,16,,144
3578,3578,ALF. CABSHA SEMIAMARGO  X 47,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,30,30,1,0.033333333,1,,1
3587,3587,AGUILETS LEC7NOUGAT 30X180G,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,1080,30,36,0.000925926,1,,1
3588,3588,ALF. TOFFI LEMON 45G,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,30,30,1,0.033333333,1,,1
3591,3591,CHOC. AGUILETS LEC/ALM. 40*9 G,CHOCOLATES,DIV. CHOCOLATES,DI,0,BU,UN,480,12,40,0.002083333,12,,84
3610,3610,TURRON MANI/ALM.BA#ADO 35X90 G,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,35,35,1,0.028571429,1,,1
3611,3611,TURRON COCO BA#.C/CHOC.35X90 G,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,35,35,1,0.028571429,1,,1
3612,3612,CH.TL7 ATM.STRONG 36X16X14G,GOLOSINAS,DIV.GOLOSINAS,DI,1,BU,UN,576,36,16,0.001736111,19,7,133
3613,3613,CHICLE TOPLINE MINT-C * 20 UNI,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,600,30,20,0.00166667,1,,1
3614,3614,PELOTA GODY MUNDIAL 12 * 22 GR,CHOCOLATES,DIV. CHOCOLATES,DI,0,BU,UN,96,8,12,0.010416667,1,,1
3616,3616,COFLER LECHE * 300 GRS,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,24,24,1,0.041666667,20,,140
3617,3617,COFLER LECHE/ALMENDRA * 300 GR,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,24,24,1,0.041666667,18,,126
3618,3618,MOGUL PARA ARMAR 12 * 30 GRS,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,144,12,12,0.00694444,1,,1
3626,3626,BARRA SER MANZANA  6X20X23 GR,HARINAS,CHOCOLATES BAGLEY JV,UN,1,BU,UN,120,6,20,0.008333333,14,,112
3627,3627,BARRA SER FRUTILLA 6X20X23 GR,HARINAS,CHOCOLATES BAGLEY JV,UN,1,BU,UN,120,6,20,0.008333333,14,,112
3628,3628,BARRA SER DURAZNO  * 23 GRS (U,HARINAS,CHOCOLATES BAGLEY JV,UN,0,BU,UN,120,6,20,0.008333333,14,,112
3629,3629,COFLER CROCANTE * 100 GRS,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,40,4,10,0.025,20,,140
3630,3630,COFLER LECHE/ALMEN * 100 GRS,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,40,4,10,0.025,20,,140
3631,3631,COFLER LECHE / CEREALES * 100,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,40,4,10,0.025,20,,140
3632,3632,COFLER LECHE * 100 GRS,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,40,4,10,0.025,20,,140
3633,3633,HVITO BOB DISP.8X60UX7.8GR,CHOCOLATES,DIV. CHOCOLATES,DI,1,BU,UN,480,8,60,0.00208333,1,,1
3634,3634,BARRA SER FRUTILLA 3 * 23 GRS,HARINAS,CHOCOLATES BAGLEY JV,DI,0,BU,UN,96,32,3,0.010416667,9,,99
3635,3635,BARRA SER MANZANA 3 * 23 GRS A,HARINAS,CHOCOLATES BAGLEY JV,DI,0,BU,UN,96,32,3,0.010416667,9,,99
3636,3636,BARRA SER DURAZNO 3 * 23 GRS A,HARINAS,CHOCOLATES BAGLEY JV,DI,0,BU,UN,96,32,3,0.010416667,9,,99
3637,3637,MOGUL RATONES * 500 GRS,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,6,6,1,0.166667,1,,1
3638,3638,CEREAL MIX SANDIA/MELON 6X20X23G,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,120,6,20,0.008333333,1,,1
3639,3639,CEREALMIX AG.SAN/MEL,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,96,32,3,0.010416667,1,,1
3641,3641,BA-CEREAL Y FTA.CIRU,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,144,24,6,0.006944444,1,,1
3642,3642,MOGUL MUNDIAL 12 * 50 GRS,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,144,12,12,0.00694444,1,,1
3643,3643,BA-CEREAL Y FTA.DZNO,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,144,24,6,0.006944444,1,,1
3644,3644,BARRA DE CEREAL 32X6,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,192,32,6,0.005208333,1,,1
3645,3645,BARRA CEREAL C/CHOC.,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,192,32,6,0.005208333,1,,1
3646,3646,BARRA CEREAL MAN.LIG,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,192,32,6,0.005208333,1,,1
3647,3647,BARRA CEREAL C/COCO,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,192,32,6,0.005208333,1,,1
3648,3648,POSTRE B-O-B REGULAR * 16 GRS,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,192,12,16,0.00520833,11,8,88
3650,3650,CEREAL MIX 32X3X23G,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,96,32,3,0.010416667,1,,1
3651,3651,CEREAL MIX C/CHOCOLATE 3X23G,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,96,32,3,0.010416667,1,,1
3652,3652,CEREAL MIX DURAZNO 32X3X23G.,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,96,32,3,0.010416667,1,,1
3653,3653,CEREAL MIX AGRUP. X 3 U. MANZANA,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,96,32,3,0.010416667,1,,1
3654,3654,CEREAL MIX COCO&COOK 3X23,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,96,32,3,0.010416667,1,,1
3655,3655,CEREAL MIX AGRUP. X 3 U. FRUTILLA,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,96,32,3,0.010416667,1,,1
3656,3656,CEREAL MIX LIGHT DURAZ. 32X3X23G,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,96,32,3,0.010416667,1,,1
3660,3660,CEREAL MIX CIRUELA/F 3X23G,HARINAS,CHOCOLATES ARCOR J.V.,UN,0,BU,UN,96,32,3,0.010416667,1,,1
3685,3685,CHUPETIN FRUTAL BRATZ * 24 UNI,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,144,6,24,0.00694444,8,,88
3686,3686,ALMED CHOC LEC AGUILA * 100 GR,CHOCOLATES,DIV. CHOCOLATES,UN,0,BU,UN,24,24,1,0.0416667,1,,1
3688,3688,MOGUL MURCIELAGOS 12 * 30 GRS,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,144,12,12,0.00694444,1,,1
3692,3692,MERM. DURAZNO Y NARANJA * 454,ALIMENTOS,DIV. ALIMENTOS,UN,0,BU,UN,12,12,1,0.0833333,1,,1
3693,3693,MOGUL GOMITAS SHREK 12 * 30 GR,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,UN,144,12,12,0.00694444,1,,1
3707,3707,PASTILLAS FRUTALES MUNDIAL * 2,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,52,52,1,0.0192308,1,,1
3710,3710,ZOOM CHOCOLATE x 72 grs.,HARINAS,DIV.HARINAS,UN,0,BU,UN,36,36,1,0.027777778,1,,1
